state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",site_5449,23.0215374,72.5800568
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",site_5456,23.0215374,72.5800568
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Rakhial, Ahmedabad - IITM",site_5451,23.021919319835135,72.61231720719366
Gujarat,Gujarat,Ahmedabad,Ahmedabad,"Chandkheda, Ahmedabad - IITM",site_5453,23.1100643,72.5811205
Gujarat,Gujarat,Ankleshwar,Ankleshwar,"GIDC, Ankleshwar - GPCB",site_5065,21.63639045,72.98870170424206
Gujarat,Gujarat,Gandhinagar,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",site_5457,23.2232877,72.6492267
Gujarat,Gujarat,Gandhinagar,Gandhinagar,"GIFT City, Gandhinagar - IITM",site_5458,23.16290525,72.68869496501037
Gujarat,Gujarat,Gandhinagar,Gandhinagar,"Sector-10, Gandhinagar - GPCB",site_5066,39.2281594,-78.8558549
Gujarat,Gujarat,Nandesari,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",site_5274,22.4178037,73.0949186
Gujarat,Gujarat,Surat,Surat,"Science Center, Surat - SMC",site_5664,21.2094892,72.8317058
Gujarat,Gujarat,Vapi,Vapi,"Phase-1 GIDC, Vapi - GPCB",site_5071,28.066902773859507,76.1037251384261
Gujarat,Gujarat,Vatva,Vatva,"Phase-4 GIDC, Vatva - GPCB",site_5067,28.066902773859507,76.1037251384261
Haryana,Haryana,Ambala,Ambala,"Patti Mehar, Ambala - HSPCB",site_5052,30.3843674,76.770421
Haryana,Haryana,Bahadurgarh,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",site_5045,28.660964800000002,76.83467647083376
Haryana,Haryana,Ballabgarh,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",site_5060,28.2940728,77.35922381594979
Haryana,Haryana,Bhiwani,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",site_5047,28.7931703,76.1391283
Haryana,Haryana,Charkhi Dadri,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",site_5339,28.5919933,76.2719817
Haryana,Haryana,Dharuhera,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",site_5044,28.2055216,76.7953099
Haryana,Haryana,Faridabad,Faridabad,"Sector 30, Faridabad - HSPCB",site_5341,28.4427368,77.32044886132684
Haryana,Haryana,Faridabad,Faridabad,"Sector- 16A, Faridabad - HSPCB",site_263,39.2281594,-78.8558549
Haryana,Haryana,Faridabad,Faridabad,"Sector 11, Faridabad - HSPCB",site_5342,28.375934100000002,77.31854412915146
Haryana,Haryana,Faridabad,Faridabad,"New Industrial Town, Faridabad - HSPCB",site_5340,28.4031478,77.3105561
Haryana,Haryana,Fatehabad,Fatehabad,"Huda Sector, Fatehabad - HSPCB",site_5054,29.5359209,75.57529014661358
Haryana,Haryana,Gurugram,Gurugram,"Teri Gram, Gurugram - HSPCB",site_5344,28.4271632,77.14881132124495
Haryana,Haryana,Gurugram,Gurugram,"Vikas Sadan, Gurugram - HSPCB",site_146,28.4646148,77.0299194
Haryana,Haryana,Gurugram,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",site_5025,28.4646148,77.0299194
Haryana,Haryana,Gurugram,Gurugram,"Sector-51, Gurugram - HSPCB",site_5345,39.2281594,-78.8558549
Haryana,Haryana,Hisar,Hisar,"Urban Estate-II, Hisar - HSPCB",site_5057,29.14079195,75.74205197875179
Haryana,Haryana,Jind,Jind,"Police Lines, Jind - HSPCB",site_5056,29.3152073,76.314082
Haryana,Haryana,Kaithal,Kaithal,"Rishi Nagar, Kaithal - HSPCB",site_5072,29.7996588,76.3989903
Haryana,Haryana,Karnal,Karnal,"Sector-12, Karnal - HSPCB",site_5049,39.2281594,-78.8558549
Haryana,Haryana,Kurukshetra ,Kurukshetra ,"Sector-7, Kurukshetra - HSPCB",site_5043,39.2281594,-78.8558549
Haryana,Haryana,Mandikhera,Mandikhera,"General Hospital, Mandikhera - HSPCB",site_5055,27.897075,76.9922014
Haryana,Haryana,Manesar,Manesar,"Sector-2 IMT, Manesar - HSPCB",site_5039,39.2281594,-78.8558549
Haryana,Haryana,Narnaul,Narnaul,"Shastri Nagar, Narnaul - HSPCB",site_5053,28.0438456,76.1062015
Haryana,Haryana,Palwal ,Palwal ,"Shyam Nagar, Palwal - HSPCB",site_5050,28.0599426,77.32234220926105
Haryana,Haryana,Panchgaon,Panchgaon,"Amity University, Panchgaon - IITM",site_6011,21.936371649999998,79.19734213658083
Haryana,Haryana,Panchkula,Panchkula,"Sector-6, Panchkula - HSPCB ",site_161,39.2281594,-78.8558549
Haryana,Haryana,Panipat,Panipat,"Sector-18, Panipat - HSPCB",site_5048,39.2281594,-78.8558549
Haryana,Haryana,Rohtak,Rohtak,"MD University, Rohtak - HSPCB",site_147,28.9010899,76.5801935
Haryana,Haryana,Sirsa,Sirsa,"F-Block, Sirsa - HSPCB",site_5051,-34.59832185002847,-58.39296551709443
Haryana,Haryana,Sonipat,Sonipat,"Murthal, Sonipat - HSPCB",site_5041,29.0396149,77.0894535
Haryana,Haryana,Yamuna Nagar,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",site_5046,19.1481254,72.827599
Himachal Pradesh,Himachal Pradesh,Baddi,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",site_5586,30.9763026,76.7674000810934
